mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_score,ltk_raw,ltk_score,x2mr_raw,x2mr_score,acft_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_sec,ioct_tab,age,hgt_in,wt_lb,bmi,sex
90,8.8,75,47,87,93,100,14,88,1017,76,516,103,91,724,339,994,136,Tabbed,22,66,174,27.33434802,Male
90,8.9,76,30,70,98,99,12,84,1041,74,493,75,76,872,274,734,183,No Tab,24,67,194,29.663479,Male
70,9.1,77,40,80,94,100,7,74,921,87,488,88,82,791,293,920,153,Tabbed,21,72,197,26.3661442,Male
70,7.7,69,16,63,98,99,7,74,937,85,460,75,82,723,288,788,171,No Tab,22,69,146,22.24564059,Male
65,6.7,66,13,61,116,84,5,70,865,93,439,59,95,837,350,920,203,Tabbed,22,65,138,23.01241827,Female
63,6,64,13,61,152,65,6,72,994,79,404,42,78,1017,283,772,263,No Tab,21,70,127,17.74994082,Female
78,7.8,69,26,68,95,100,8,76,712,100,491,60,96,665,285,782,172,No Tab,22,72,170,22.69662929,Male
100,10,83,53,93,84,100,20,100,732,100,576,100,103,686,375,936,150,Tabbed,22,70,180,25.59374321,Male
78,9,77,30,70,91,100,7,74,1096,68,467,79,90,795,296,794,170,No Tab,22,67,168,27.17260631,Male
100,9.7,81,36,76,95,100,10,80,919,87,524,83,83,840,282,800,169,No Tab,21,68,180,26.4889495,Male
63,5.9,64,4,30,113,87,0,0,814,99,343,65,102,774,356,908,208,Tabbed,21,64,144,24.76922567,Female
90,11.4,93,37,77,87,100,15,90,764,100,550,70,90,749,294,932,151,Tabbed,24,73,210,28.26885564,Male
62,5.3,62,28,69,142,67,2,62,984,80,402,70,89,839,343,902,214,Tabbed,22,63,120,21.07775477,Female
62,6.4,65,20,65,123,77,9,78,989,80,427,58,80,838,325,908,210,Tabbed,21,64,140,22.84566161,Female
70,8.2,71,33,73,95,100,9,78,765,100,492,74,87,713,324,896,157,Tabbed,23,67,163,26.04041438,Male
74,9.8,82,40,80,89,100,13,86,956,83,505,72,82,835,284,926,152,Tabbed,21,72,178,24.19161685,Male
90,10.7,88,51,91,84,100,18,96,882,91,556,85,85,749,329,848,162,No Tab,23,68,174,27.15228501,Male
70,8.7,75,33,73,119,81,9,78,1020,76,453,87,83,836,274,710,192,No Tab,22,65,159,25.84728139,Male
74,8.1,71,30,70,99,98,5,70,967,82,465,71,86,683,300,908,155,Tabbed,22,67,162,24.68351901,Male
90,10.6,87,47,87,88,100,20,100,763,100,564,95,105,730,355,902,156,Tabbed,24,70,186,27.52483021,Male
90,11.4,93,40,80,76,100,15,90,973,81,534,88,84,755,331,926,152,Tabbed,21,72,194,27.11408283,Male
78,10.2,85,32,72,96,99,11,82,826,98,514,72,67,749,277,824,165,No Tab,22,72,185,25.0070646,Male
82,8.6,74,56,96,97,99,10,80,904,89,520,105,115,670,375,978,142,Tabbed,22,68,177,26.99533539,Male
78,9.6,81,37,77,89,100,14,88,695,100,524,86,101,642,365,954,146,Tabbed,21,70,163,23.4369671,Male
82,9.8,82,31,71,92,100,10,80,914,88,503,72,79,761,308,884,159,No Tab,22,71,206,27.31749992,Male
100,13.5,100,38,78,88,100,12,84,963,82,544,73,81,803,289,770,174,No Tab,22,74,220,27.91940639,Male
74,7.9,70,26,68,113,87,4,68,884,91,458,76,64,770,274,710,191,No Tab,21,69,167,23.29318202,Male
82,11.8,95,54,94,86,100,16,92,799,100,563,100,84,706,356,1000,126,Tabbed,23,68,172,25.90245822,Male
63,6.2,64,17,63,130,70,0,0,1143,64,324,43,73,910,276,740,292,No Tab,21,72,191,26.55502958,Female
82,8.7,75,40,80,103,96,12,84,972,81,498,90,85,833,283,836,163,No Tab,22,72,178,24.31881656,Male
82,6.8,66,37,77,100,98,15,90,925,87,500,81,85,765,320,718,188,No Tab,22,71,168,23.34047336,Male
78,9.5,80,23,66,102,97,0,0,799,100,421,84,75,734,295,690,194,No Tab,22,75,231,28.80813842,Male
78,9.5,80,32,72,102,97,9,78,878,92,497,86,79,760,318,762,176,No Tab,22,69,163,24.53115161,Male
90,8.4,73,55,95,97,99,18,96,705,100,553,83,92,681,349,944,148,Tabbed,21,71,171,24.29967754,Male
74,8.6,74,27,68,100,98,10,80,905,89,483,72,82,813,286,788,171,No Tab,21,66,173,26.52448651,Male
90,9,77,36,76,94,100,10,80,843,96,519,67,83,748,294,896,157,Tabbed,23,72,181,25.29715975,Male
82,11.9,96,41,81,77,100,13,86,949,84,529,80,82,678,338,908,155,Tabbed,22,75,206,24.51764536,Male
